Label,Tweet
1,Is madarchod Sajid Khan ko Jayvijay se kya problem h . Khud ko to kuch aata ni uski performance ko bekar bolta h..\xe1\x80\xa6 https://t.co/dJxNCXHsyh
1,@sanjivbhatt teri maaa ko kuttey se chudwaya tera suwar baaap tab jakar tu madarchod paida huwa...randi ka aulaaad madarchod
1,@Manan_13 @Nirmalogy @BhokalTweet Ambani supporter Madarchod mar ja
1,@vinodkapri @HoeZaay @sakshijoshii @ravikantmittal @ajitanjum Bhadva madarchod Bhakt ....
1,@updatingwait @Acutereply Ab usko chhod mjse bat kr tera baap aa gya hai ab to ldki ko beech me q la ra hai Madarch\xe1\x80\xa6 https://t.co/aRTpVwrqw6
1,"@Shujaatsays Teri Ammi k sath first inning Virat khela tha, tb tu paida hua, aur tera abbu Abhi us result ka gum mana rha h madarchod \xf0\x9f\xa4\xa3"
1,@pbhushan1 @sanjaymanjrekar Oh the madarchod liberal manjrekar retweeted. Bhadwa congress ka dalal.
1,@PiranhaBlowjob Madarchod jalta hai mujhse ?
1,"@shailu_CA modi madarchod hai Na, maa ko khara' kar diya note ki line 96 yr old maa. Modi is harami chutiya PM"
1,@free_thinker teri ammi free ki raandi thi madarchod tu free ka thinker paida huwa..free mey hi randi devil ko chod\xe1\x80\xa6 https://t.co/5S9CPSLXQK
1,Kutte jite nahi madarchod dusro ko bhi nahi Jeene deti
1,@LmRajpt @imjadeja Teri maa ka bhosra ..bharve ki aulad ...madarchod...aukat me rahe ..nahi gand phar dunga ..bharve
1,@BhaiyyaSexy @SatyaSibaSabat1 @taran_adarsh abe madarchod bhagode multi starrer ese to daava me b Naseer ka equal r\xe1\x80\xa6 https://t.co/IDVhjy71V3
1,RT @niralsoni: Madarchod kya chahta hai https://t.co/9fLcKJ4fxI
1,@ShankhNaad @PetaIndia @ChouhanShivraj Kis madarchod ki he giri hui harkt
1,@BuddhadevMurum1 @ColorsTV Madarchod shilpa randi rona band kar
1,"@Shujaatsays Madarchod , bhenchod bsdk bhikhari Jihadi Porkistani \xf0\x9f\x98\x81\xf0\x9f\x98\x81\xf0\x9f\x98\x81 aab theek"
1,@rssurjewala Abe chup chutye ye to congress bhi kar sakti thi  madarchod ahmedabad me aake marunga apna kam kar
1,@RavishKumar_ @shuklapinku @rajnathsingh @BSF_India Bhag madarchod
1,Bhak Machod Mullo Ke Abbu  @bewak_sanki543 @milkygaay @Dilli_Ka_Maalik @ArvindKrejriwal @ashu3page @AamAadmiParty\xe1\x80\xa6 https://t.co/K1pRnRhz0V
1,@_R_aHu_L_ @Mk56Kaur bhadwe ki aulad ho tum sale madarchod ki wajah se ye zait failta hai hindu muslim ka bhen ke t\xe1\x80\xa6 https://t.co/nbdEzBGmu1
1,Madarchod why did your mom meet @narendramodi in GB Road and get screwed by her. https://t.co/mSfNGZfoI1
1,@_R_aHu_L_ kyu ki ye tere bap ka nay hai tweeter madarchod bhosdike teri ma hogi zopdi wali bhen ke lode nikal yaha\xe1\x80\xa6 https://t.co/Z4jafVFx1w
1,@NaamHiKafiHay Terrorist Madarchod humse baat karta hai
1,@aajtak @TheHurera Madarchod he SAALA
1,@MallikaDua randi ki beti madarchod baaap se chuda moti bhains
1,@ikillukillwekil @Kalpeshco1 @sardanarohit Madarchod chutiya tum ho sale
1,Katra hotel owners madarchod hote hain
1,@sanjivbhatt teri ammi ko @ShatruganSinha se chudwa madarchod minus minus plus hota hai dimaag thikaney aajaye kahi\xe1\x80\xa6 https://t.co/kE1ZjNv1FL
1,@futbolpogs Narad muni Hai Madarchod
1,@RoflGandhi_ @Maddy_Shaab @sambitswaraj MADARCHOD KARAMFOOT GAANDU father of Congress..
1,"@KRKActor1 abe Behsaram madarchod madarjaat tu abhi tak mara nahi, tu to suiside karne waala tha kutte harami madarchoddddddddddddddd???????"
1,"RT @ShrrinG: When any Virtue Signalling Chutiya comes to your TL, grab his collar and say They are not playing by any rules .. saala baap ko sikhata hai t's a FUCKI\xe1\x80\xa6"
1,Sab madarchod Neta hai.sb..
1,@narendramodi177 @narendramodi arrey madarchod ky bacchey terko inko congrates karney ka time hain but ek tweet kar\xe1\x80\xa6 https://t.co/fza9YOu96m
1,@Beingdaring1 @mannkakhiladi @_EternalSalman_ Chal is baat me tu Zaira waseem ki Tatti kha le hutiye...WARNA ek baa\xe1\x80\xa6 https://t.co/AyEdxdA7j3
1,Madarchod https://t.co/9fLcKJ4fxI teri kon sunega
1,@NaamHiKafiHay Teri maa Randi Madarchod Saale Pakistani
1,@gautamrockzzzzz @BiggBoss Madarchod.. Tera ghar ka nahi khati hai voh chutiye..
1,@KyaUkhaadLega I m agree with you.. Behanchod madarchod log h bhosdi wali log.. Gali se hi baat smjjhane kaa \xf0\x9f\x91\x8c\xf0\x9f\x91\x8c\xf0\x9f\x91\x8c\xf0\x9f\x91\x8c\xf0\x9f\x91\x8c\xf0\x9f\x91\x8c\xf0\x9f\x91\x8c\xf0\x9f\x91\x8c\xf0\x9f\x91\x8c
1,@arunl97 @aipatel_55 @ManavDoshi1001 @INCIndia @FitchRatings madarchod choro hindustan chodo
1,@dasraghubar madarchod tum vote ke liye apne bet I  tak ki dalali kar sake ho
1,@karanjohar @AnushkaSharma @imVkohli Tu madarchod haii...... Dosti ke namm par Sala dhoka deta hai
1,Madarchod fawad ko toh try ball khelaya gya tha. Usey hi tum log first inning samjh liye. Grow up morons. Bhabhi se\xe1\x80\xa6 https://t.co/nTLmvxswmM
1,"@yuva_raj3091 @Ranidreams @ROMI13343316 Ye bahenchod, achhe khase Lund ko bekar karenge... itna bada risk le rahe hain..."
1,RT @is_enticing: kya zindagi h yaar bahenchod.  \ndimag khrb. \ng m sb k sb.  \ngood night.
1,RT @lil_unsteady: Ladke wale: kya karti hai aapki beti?\nLadki k papa: Twitter par logo ko bahenchod bolkar gender equality me apna yogdan d\xe1\x80\xa6
1,kya zindagi h yaar bahenchod.  \ndimag khrb. \ng m sb k sb.  \ngood night.
1,RT @AditShinde1: @BenafshaSoona Abe Bahenchod kuch To Sharam Kar San Be Dekha Hai \n\n#FixedWinnerShilpa
0,RT @dilwala_SRK: @ISrkfanOnly @SRKsRider @SRKswarrior1 @being_tiger_ HNY k time pe 15000 kamaya tha maine..is baar payment nahi de rahe hai\xe1\x80\xa6
1,@BiggBossNewz Ache Se Dekh Le Bahenchod https://t.co/1Smek5Fcl4
1,MADARCHOD LOG \n\nBAHENCHOD LOG\n\nRAT KO MOTORBIKE ME SE PETROL \nCHURANE WALE LOG
1,@airtelindia bahenchod..\n Why getting lots of ad in your Wynk music app. Pure mood ki maa behen kr dete h ...
1,@Robin_GoodX they don\'t know there is a word called BahenChod
1,@Bas1King \xf0\x9f\x91\x8c\xf0\x9f\x91\x8c\xf0\x9f\x91\x8c\xf0\x9f\x91\x8c\xf0\x9f\x91\x8c Acha reply diya ladkiya khe rahi Bahenchod jab itna normal hai to maal khe diya to kya galat Maal h\xe1\x80\xa6 https://t.co/6xbWS1cIlU
1,@justinlouisbrad @beersbiebs Bahenchod. Aaukad mein rah.
1,"RT @Bakchod_Choro: Friend - Bhai Me Apne Bete Ka Kya Naam Rakhu Jo Sabki Zubaan Pe Rahe \n\nMe -  "" Bahenchod "" Rakh De"
1,"@KenRoth U idiot, what d fuck ur fucking human rights watch z watching in Baluchistan? U motherfuckers shd close ur\xe1\x80\xa6 https://t.co/usrCp7pEat"
1,Anushka: baby tum mujhe shadi bad kis nam se bulao gey?\n\nVirat: bahenchod\n\n#VirushkaWEDDING
1,@AvijitEmmi Bahenchod .... experienced lagte ho bhai bhot\xf0\x9f\x98\x81\xf0\x9f\x98\x81\xf0\x9f\x98\x81\xf0\x9f\x98\x81\xf0\x9f\x98\x81
1,@behenchodabhay @sarita_beta @parvatikhan1 @shikhaask5 Bahenchod sale bra nahi mangege tere bahen ki chuchi masal k\xe1\x80\xa6 https://t.co/iQB05N44Qd
1,Or koi gaali bhi nahi dega bahenchod\xf0\x9f\x98\x81 https://t.co/Zr3wbRywm3
1,@Mehreenansari95 @ColorsTV @JJROCKXX @eyehinakhan Yeh Dekho Bahenchod Ko Fake Id Chala Raha Hai
0,RT @is_enticing: chalo acha h tumhare dost tumhare birthday ka countdown kar rahe h.\nbut iska mtlb yeh thodi h ki uska ss le k tum story da\xe1\x80\xa6
1,@akramtyagi @BSF_India @rajnathsingh @Uppolice @moradabadpolice @myogiadityanath Pata nahi aise sanghi kutte ko bha\xe1\x80\xa6 https://t.co/n1PLeOgW0v
1,RT @mdawaisi91: Anushka: baby tum mujhe shadi bad kis nam se bulao gey?\n\nVirat: bahenchod\n\n#VirushkaWEDDING
1,@vishalIncest Bahenchod sale bra nahi mangege tere bahen ki chuchi masal kar sAli ko ghutno par bithuga n kutiya ba\xe1\x80\xa6 https://t.co/l77siKqVIk
1,@deep_tejani @BiggBossCritic1 Are Bhai Apne Bahen Ka Nhi Banaya Kya Uska Bhi Bana Ke Dalna Tha Na Bahenchod Naale Me Paida Hua Kya
1,@BenafshaSoona Abe Bahenchod kuch To Sharam Kar San Be Dekha Hai \n\n#FixedWinnerShilpa
1,"RT @The_Sonu_Gujjar: Friend - Bhai Me Apne Bete Ka Kya Naam Rakhu Jo Sabki Zubaan Pe Rahe \n\nMe -  "" Bahenchod "" Rakh De"
1,"Bahenchod this is the saddest thing, girl ready to do anything to help a guy sleep \xf0\x9f\x98\xa1\xf0\x9f\x98\xa1 https://t.co/3rd15Wf7QS"
1,@OfficeOfRG Bahenchod 65 saal TK apni maa chudwa rahe the tum log
1,"@OfficeOfRG maadarchod tu dusaro ko chhod, tujhe gandhi family ka aisho-aaram mil raha hai. bahenchod dusaro ki fik\xe1\x80\xa6 https://t.co/JGPOSYKJXl"
1,@DrGPradhan Bahenchod laal chaddi goons
0,Badir just announced their funding statistics for their emerging startups in Saudi Arabia\nhttps://t.co/si1Cq9KVcx\n#Startup #News #Tech
1,"@attorneybharti @ArvindKejriwal Saala Bhadva Chandi ke Mukut dene waley ki shaadi me hi jata hai,isliye log ko pata\xe1\x80\xa6 https://t.co/0XyCk8onXP"
1,@rohanrgupta bhadve @TodaysChanakya ne teri bhadva giri sabko bata di #Shame
1,RT @BehalPushkar: @TheKaranPatel Neem ka pta kadva hai karan patel bhadva hai\xf0\x9f\x98\x81\xf0\x9f\x98\x81\xf0\x9f\x98\x81\xf0\x9f\x98\x81 abbe chaman chuti*e apni izzat kyu utarvane pr tulla hai\xf0\x9f\x98\x81\xf0\x9f\x98\x81
1,RT @APSodha1: @SirRavishKumar Bhadva jnta party \nBjp nhi \nSale kutto
1,Lukachut bhadva
1,@girirajsinghbjp Aese bhadva logo ko mind Me nahi leneka ae Pakistan jake sarkar girane ko bolta tha ae dalal he
1,@ashish_tiwtter AAmir Khan the great Bhadva immediately started speaking when Jihadi Zaira got touched. But he never speaks for Hindus.
1,@shaileshkap @HimanshiKunwar1 @jigneshmevani80 tu up bihar ka bhadva hoga jise gujarati me kadva kehete he ab to sa\xe1\x80\xa6 https://t.co/drD3fgfI1Y
1,@ZahirAdvocate @Anmol_77 Pakistan bhadva hai
1,@ChooseGudPerson @amitkumar13557 @Brijesh88110717 @AAP_Germany bhadvas started to Bark. AAP the great bhadva party.
1,@KaziArshadHusai Haa tu Rahul  ka ghu khata hai \nPata hai sab ko \nGandi nali ka kida bhadva
1,@BiggBoss  kickout Arshi chhinal and vikas bhadva
1,@IndiaToday @cheteshwar1 Large number mein ayengey to BJP ko vote karengey aur is se @sardesairajdeep ki Gaand nahi\xe1\x80\xa6 https://t.co/ae3jCvT80n
1,@patel_ronik @OfficeOfRG Hindi nai aati to ma ch***vane aaya he politics me... sala bhadva .. samjate pappu tere perie ko
1,@ShakeelSabhasad @News18India Aur Chatne wale ko kutta chatukar...\nBhakt hai to sahi kam se kam dalal bhadva kutta\xe1\x80\xa6 https://t.co/QwYcYMKho9
1,@laluprasadrjd Aur wo Bhadva hai Lalu Prasad \nSaala.ko thappad maar ke theek karo
0,@DaaruBaazMehta @ArvindKejriwal @ManojTiwariMP @BJP4India That fellow Tiwari must be getting part of the loot from\xe1\x80\xa6 https://t.co/WLkkxdrihT
1,@OfficeOfRG To for 60 sal tak kya Kiya? Jo ab bevakuf banane nikala hai murkh bhadva
1,@News18India @sambitswaraj abe bhadva kanhiya kutte gaddar sale pakistani kutta dalla
1,"@SabooVikas @PMOIndia @narendramodi A re MANIA TUH  NICH HAI ,MODISAHAB KO LAKER TERI GAAND MAIN JALAN HO RAHI HAI\xe1\x80\xa6 https://t.co/rl9PWU1Pbl"
1,@BJP4India @narendramodi Kapil Sibbal ko Border pe Ulta Latka k itne CHHED kare ki Uski Randi-Maa  b pehchan na sak\xe1\x80\xa6 https://t.co/y1nlVEpA98
1,@ManiAyeSir  sorry agar me kuch gali likh du to kyuki Mera Hindi thoda poor he..bhadva chutiya Gujarati o ko gali deta he
1,@HardikPatel_ bhadva.. havaskhor 18 dec k baad tu gujrat me dikh nhi payega dekh lena kahi muh chupa k pada hoga bhadva harpik havsakhor
1,@EconomicTimes Bhadva ! M S Aiyar
1,@vinodkapri @HoeZaay @sakshijoshii @ravikantmittal @ajitanjum Bhadva madarchod Bhakt ....
1,Sorry Chakkichods I forgot to add Bhadva Owaisi. Count him too. :P
1,@HardikPatel_ bhadva
1,@Robins_patel07 @DesiStupides @smritiirani Aano Pan javab aapi de bhadva pavaya
1,Abe tu Dallal hai sale ........bhadva hai tu congress ka Gandu manishankar..
1,@htTweets Congress ka bhadva he tu... Madrchod
1,@TheKaranPatel Neem ka pta kadva hai karan patel bhadva hai\xf0\x9f\x98\x81\xf0\x9f\x98\x81\xf0\x9f\x98\x81\xf0\x9f\x98\x81 abbe chaman chuti*e apni izzat kyu utarvane pr tulla hai\xf0\x9f\x98\x81\xf0\x9f\x98\x81
1,@tehseenp Randi chodne wala bhadva aagaya
1,@AHIRE40 @Bhimdev101 @SquareGas @ChandreshT @ANI Aur yeh nikla paki bhadva hindu naam istamal karte hue.abey katve\xe1\x80\xa6 https://t.co/8loGd9E4I4
1,@laluprasadrjd Bhadva vo khali tu hay. Tihar KI tyari KAR. BAKI Sara India safe hay.tune life me ek hi KAM achha ki\xe1\x80\xa6 https://t.co/t8ayvWifoW
1,@majestic_bhara @sambitswaraj @republic Anurag bhadva rahul tera baap hai
1,@Ahmad_Shakeel Ye bhadva miljaye uski..maa chod du
1,#PMSupariAttack\nSach kadva hai manishanker Aiyyer pakistan ka bhadva hai\nSorry I don't know Hindi or any other language
1,@sardanarohit @aajtak Bhadva congress
1,@Sahil_Adhikaari Jhatu hai saala bhadva
1,@TimesNow @Shehzad_Ind @tehseenp Tu bhadva he bilkul tujme dimaag nhi
0,RT @HukkaKing1: @GouravvRock @sonalichauhan1 @EatTravelDie @hemantbatra0 @SociallyMayank @TheSoberRider @vishalkalia1 Alfaz hai mera kadva\xe1\x80\xa6
0,"@gadgil_rajesh He does not have guts in his balls. He is loud mouth. Creater of stories, fake cds and what not. He\xe1\x80\xa6 https://t.co/nnvRVLurp1"
1,Michael Oliver mkc teri bhen ke lode gandu sala chutmarika bhadva
1,@ZeeNews @RubikaLiyaquat Yes muslimo ki gand hindu jab marenge to ye harami owaisi hi uske liye jimmdar hoga...ya b\xe1\x80\xa6 https://t.co/1UWeez1S7X
0,@srirambjp @narendramodi It is the mindset issue. Congress wants to induct AAP leader Sangeeta Chandpa recently. Sh\xe1\x80\xa6 https://t.co/ScOE67XmEk
1,@asadowaisi This Bhadva jantha party is appreciating a person who brutally killed a poor citizen. \n\nhttps://t.co/IH9uM0D8Jf
1,"@KilaFateh @retheeshraj10 @TajinderBagga Abe ye tere Ko 'bhadva' bol Raha hai, mar sale Ko \xf0\x9f\x98\xb9\xf0\x9f\x98\xb9\xf0\x9f\x98\xb9\xf0\x9f\x98\xb9\xf0\x9f\x98\xb9\xf0\x9f\x9a\xa9\xf0\x9f\x9a\xa9 @RoflGandhi_"
1,@gumnaamsa Ye bhadva ladkiyo ko dhamkata h gake ss bnata h jo isse pat nhi rhi h
1,#ManiShankarAiyar sala bhadva Gujarati o ko gali deta he chutiya
1,@ANI @INCIndia Aur @OfficeOfRG ka ek aur bhosdika Bhadva apna suar gaand mukh se bola.
1,@HardikPatel_ Loda madarchod pikina bhadva
1,@malviyamit @Anirudh_SR He is such a Bhadva
1,@jyotyshekhawat1 Q ki ye bhadva h
0,RT @DhanyakumarBPa1: @DaaruBaazMehta @ArvindKejriwal @ManojTiwariMP @BJP4India That fellow Tiwari must be getting part of the loot from the\xe1\x80\xa6
1,@vikas_gujarat @KamalAg87404755 @HardikPatel_ Modi ko gali dene walo aab jake pata chala ki hardik aek bhadva he wo\xe1\x80\xa6 https://t.co/4PVWqq8kdT
1,@ManiAyeSir sala bhadva chutiya Gujarati o ko gali deta he... Sorry Yar Mera Hindi thoda poor he
1,@republic @KapilSibal @pbhushan1 Kanoon ka badnaam Bhadva kal bakchodi raha tha wo Sunni board ka wakeel nahin?\nRep\xe1\x80\xa6 https://t.co/gix44ZOPJd
1,"@Alikhansdaring @AdibaDare @Janbaazk707 @taslimanasreen kaye ko gaali de usko, chodthe Allah ke upar. ye musalmano\xe1\x80\xa6 https://t.co/dQCFcDG6aN"
1,RT @dinesh38: #ManiShankarAiyar sala bhadva Gujarati o ko gali deta he chutiya
1,@ZeeNews Kya Dallo ab ye bhadva desh ka sanman kar raha he??????
1,"@ArvindKejriwal Khujli bhikhari tatte, jhantu ka reporter, liar aur Jhantu aadmi party news, RNDTV ko chhodkr kabhi\xe1\x80\xa6 https://t.co/BwQyiIEzhd"
1,@ManiAyeSir  sorry agar me kuch gali likh du to...Mera Hindi thoda poor he...bhadva .. chutiya ki aulad Gujarati o ko gali deta he
1,@SirRavishKumar Bhadva jnta party \nBjp nhi \nSale kutto
1,@jigneshmevani80 Vo sub congress ke bhadve hay. To ZAKIR KA bhadva hay Dhede Bhegiye T...saf karte hay CHUnav nahi ladke.
1,@abpnewshindi @narendramodi apna dekh na dogle \nsher ke ghar bhadva paida hua hai \nhindutva wali party Modi virodh\xe1\x80\xa6 https://t.co/NrKBWTYXag
1,@htTweets Sarkar ke Rs.  Study Karne Vala Aj congress ke kuch feke huve tukde pe mujra Karne Vala Bhadva he.... Kanaya
1,"@ManiAyeSir you are the ugliest hole one can have. Chutye marja, tere bap ne guma kiya tuje peda karke. Bhadva kahin ka\xf0\x9f\x98\x81\xf0\x9f\x98\x81"
1,@Ritz11389 @hallagullaboy @ManojTiwariMP @ArvindKejriwal Modi n that UP wala bhadva MP whats his name that maha chu\xe1\x80\xa6 https://t.co/XMxxnhKVnH
1,@avinash_kadbe @jitupatwari Bhadva h ye
1,"Neem ka patta kadva hai,\nMourinho saala bhadva hai.\nSatan lost, we celebrate."
1,@v_vverma13 @being_delhite or vo bhadva kejriwal pig ki tatti khane wala? or aaprtars uski kkame wale...
1,@Nargisbano15n @DrRizwanAhmed1 Tu bhotnike\nTera baap bhootnika \nTeri maa bhootnike\nTera pura khandan bhootnika
1,@Iamshiyad @rakeysh_tweets @DilliDurAst Hahaha bhag gaya bhootnika.
1,RT @soitbedone: @SaniyaChatterje muh khol chinaal https://t.co/MgWnknCkYA
1,@SaniyaChatterje muh khol chinaal https://t.co/MgWnknCkYA
1,@being_zahra I hate her like anything \xf0\x9f\x98\x88 she is the bighest chinaal of all time\xf0\x9f\x98\x81
1,@priya_hhh ooohhh yes meri randi kuttiyaaa salliii hraaaamkhorrrr chinaal
1,RT @markparker111: @ill_sia saali chinaal! Chut maari ki! Randiii! Kutti ! Le mera lund zoro me randiiiii https://t.co/Zgc1dZEw9X
1,"RT @BSdkmc0: Mulle ke Kale Lund Ki Diwani Hui Mummy,mulle ne maa ko Chod Chod Ke Chinaal bna Diya https://t.co/ybqH4NTOOj"
1,@uksri Mai kehe Raha hu AGAR GAAND ME DUM HAI TO UNKE BEECH ME BOLEGA....TERA JOOTA MERA SIR.....TERI MAA CHODKE HA\xe1\x80\xa6 https://t.co/ezCnmrcTiQ
1,@speeedfrog @fishylone @Saahilpeerzaada @HafsaAkram15 @AryaSmilesa Bhai kya main is randi zara khan randi ko aur na\xe1\x80\xa6 https://t.co/TjGDhv9riU
1,@Randisuman Randi h Sali Chinaal
1,@SethShruti @SuperLonday Chinaal chodi k pane mat kar BKL
1,@majestic_bhara @abpnewstv @karanjohar @RanveerOfficial RANDI K PILLE TERI MAA BEHEN KO KOTHE PE BECH K AAYA HU AB\xe1\x80\xa6 https://t.co/KM3j6BsvQD
1,RT @Ratansonawane1: @Lokesh18031674 Sant rampalji maharaj ke anmool vachan dekiye shadna chinaal par 7.40 se
1,Ayesha Fatima RSS ke office ki chinaal https://t.co/r6h73KqlBm
1,oohhh really meri kuttiyaa sali hraamzaddi randi kamini chinaal https://t.co/mBCnl3voli
1,@myvotetoday Is chinaal ko italy bhejo pehle
1,@CumWhore11 Apni is chinaal behan ko lund pr latka kr iski gaand chodugaa \nUchaal uchaal kr
1,@raghu16508065 Randi woh nahi teri maa hai.... mast chudwaa gayi thi us raat ko mere se tab jaake tu paida huva mer\xe1\x80\xa6 https://t.co/0czWNsXoZQ
1,RT @jigneshshahjain: https://t.co/8usV9CWorY meri #Randi patni Sara ko Chinaal bana ker chod rahen ussi ke bhai dost. Imr pheche se chodra\xe1\x80\xa6
1,RT @Ratansonawane1: @The_Living_Way Dekiye sant rampalji maharaj ke anmool vachan shadna chinaal par 7.40se
1,@majestic_bhara @abpnewstv @karanjohar @RanveerOfficial 1300000000000 LOGO NE TERI MAA KI CHUT KA SEAL TODA THA TAB\xe1\x80\xa6 https://t.co/AfHjPfXRh0
1,@MinhazMerchant @ShefVaidya Chinaal merchant apply burnol
1,https://t.co/rg6zJGbOlB meri #Randi patni Sara mere office ke ek Black colleague ka lund chusne ke baad #Chinaal ki\xe1\x80\xa6 https://t.co/X1yQDdMHgJ
1,@MyloMegha Fake account chinaal..
1,@majestic_bhara @abpnewstv @karanjohar @RanveerOfficial AAJA RANDI K LADKE PAPA SE FADDA KAREGA BLOCK MAT KARNA TER\xe1\x80\xa6 https://t.co/5ywUG9HbIa
1,Meri #Randi patni sara jesse bhi chudati hai uski essa feeling deti hai jesse ke wo uski #Rakhel ho. Apni cousin ke\xe1\x80\xa6 https://t.co/qG1di1uWmD
1,@majestic_bhara @abpnewstv @karanjohar @RanveerOfficial BANDAR KA GAAND BHI TERE SE ACCHA DIKHTA HAI MADARCHOD RED\xe1\x80\xa6 https://t.co/MW9LBRa1Kp
1,@priya_hhh @rheaslut @Poonamrani1134 Vo teri gaand chategi or tu raand...haan chinaal tu saali bhen ki lodi mera la\xe1\x80\xa6 https://t.co/PQCHP1xx7k
